
==========================================================================
PANEL PERFORMANCE — queries and wall time (in-memory SQLite)
==========================================================================
SCREEN / ACTION                        ROWS    QUERIES       TIME
--------------------------------------------------------------------------
Dashboard                                40          4       303ms
Children (list)                          40          3       518ms
Children (create)                        40          1       351ms
Pregnant women                           40          3      1206ms
Group sessions                           40          3       530ms
Mother to mother                         40          3       944ms
Individual counseling                    40          3       401ms
Follow up children                       40          8       542ms
Users                                    40          4       145ms
Roles                                    40          3       145ms
Trash                                    40          3       110ms
Backups                                  40          1      1508ms
Cache management                         40          1      1489ms
Activity log                             40          4       206ms
Notification log                         40          3       258ms
Notification settings                    40          3       142ms
General settings                         40          1       394ms
MEAL report                              40          1       391ms
Dashboard @4x                           160          1       126ms
Children (list) @4x                     160          3       238ms
Children (create) @4x                   160          1       627ms
Pregnant women @4x                      160          3       812ms
Group sessions @4x                      160          3       376ms
Mother to mother @4x                    160          3       410ms
Individual counseling @4x               160          3       573ms
Follow up children @4x                  160          8       646ms
Users @4x                               160          4       326ms
Roles @4x                               160          3       641ms
Trash @4x                               160          3       229ms
Backups @4x                             160          1       286ms
Cache management @4x                    160          1       290ms
Activity log @4x                        160          4       354ms
Notification log @4x                    160          3       277ms
Notification settings @4x               160          3       118ms
General settings @4x                    160          1       168ms
MEAL report @4x                         160          1        99ms
Trash: restore                           40          6        18ms
Trash: delete for good                   40          5        15ms
Trash (120 deleted)                     120          8         0ms
Trash (10 deleted)                       10          9       218ms
Trash (40 deleted)                       40          6       488ms
Duplicate alert raised                   40          1        30ms
Duplicate alert: fetch data              40          1        48ms
MUAC entered                             40          0        34ms
==========================================================================
